Article S/N,Country Code,Country,Region,Date,Journal,h Index,Title,,Full Article,Primary or review article,Was the work done locally?,Were the flies sourced locally?,"If sourced abroad, where?",Is it transgenic?,Model,A,Is it Neuroscience oriented?,Number of affiliated institutions,Intra collaboration,Name of local institution 1,First Author's Institution,,Name of local institution 2,,Name of local institution 3,Name of local institution 4,External collaboration 1,EC,Internal Colaboration,IC,IEC,Country of external collaboration 1,Country of external collaboration 2,Country of external collaboration 3,Number of Funders,Funded/Not funded,Funding,Local Funder 1,Local Funder_1,Local Funder_1_Country,Local Funder 2,Local Funder_2,Local Funder_2_Country,International Funder 1,International Funder_1,International Funder_1_Country,International Funder 2,International Funder_2,International Funder_2_Country,International Funder 3,International Funder_3,International Funder_3_Country,
1,1,Algeria,North Africa,2019,Sci Rep,,Transgenerational Effects From Single Larval Exposure to Azadirachtin on Life History and Behavior Traits of Drosophila Melanogaster,18,1,Primary,1,0,FRANCE,0,Fruit flies,"M Ferdenache , R Bezzar-Bendjazia , F Marion-Poll , S Kilani-Morakchi ",0,3,0,"Badji Mokhtar University of Annaba, Algeria","BMU Annaba, Algeria",8,,,,,1,1,,,1,FRANCE,,,4,1,3,National Fund for Scientific Research of Algeria,AFFSR Algeria,Algeria,Ministry of Higher Education and Scientific Research of Algeria ,"MHESR, Algeria","MHESR, Algeria",Algerian-French Bilateral cooperation PROFAS B+,PROFAS B+,France,the doctoral school ABIES,PD-ABIES,France,,,,
2,1,Algeria,North Africa,2018,Pest Manag Sci,,"Azadirachtin Effects on Mating Success, Gametic Abnormalities and Progeny Survival in Drosophila Melanogaster (Diptera)",30,1,Primary,1,0,FRANCE,0,Fruit flies,"Chemseddine M Oulhaci 1, Béatrice Denis 2, Samira Kilani-Morakchi 1, Jean-Christophe Sandoz 2, Laure Kaiser 2, Dominique Joly 2, Nadia Aribi 1",0,2,0,"Badji Mokhtar University of Annaba, Algeria","BMU Annaba, Algeria",8,,,,,1,1,,,1,FRANCE,,,2,1,3,National Fund for Scientific Research of Algeria,AFFSR Algeria,Algeria,,,,"Institute Diversity, Evolution, Ecology of the Living.",IDEEV,France,,,,,,,
3,1,Algeria,North Africa,2017,Pestic Biochem Physiol,,Preimaginal Exposure to Azadirachtin Affects Food Selection and Digestive Enzymes in Adults of Drosophila Melanogaster (Diptera: Drosophilidae),20,1,Primary,1,1,,0,Fruit flies,"Samira Kilani-Morakchi , Radia Bezzar-Bendjazia , Maroua Ferdenache , Nadia Aribi ",0,1,1,"Badji Mokhtar University of Annaba, Algeria","BMU Annaba, Algeria",8,,,,,,,,,0,,,,2,1,1,National Fund for Scientific Research of Algeria,AFFSR Algeria,Algeria,Ministry of Higher Education and Scientific Research of Algeria ,"MHESR, Algeria","MHESR, Algeria",,,,,,,,,,
4,1,Algeria,North Africa,2017,Pestic Biochem Physiol,,Azadirachtin Induced Larval Avoidance and Antifeeding by Disruption of Food Intake and Digestive Enzymes in Drosophila Melanogaster (Diptera: Drosophilidae),55,1,Primary,1,1,,0,Fruit flies,"Radia Bezzar-Bendjazia , Samira Kilani-Morakchi , Ferdenache Maroua , Nadia Aribi ",0,1,0,"Badji Mokhtar University of Annaba, Algeria","BMU Annaba, Algeria",8,,,,,,,,,0,,,,2,1,1,National Fund for Scientific Research of Algeria,AFFSR Algeria,Algeria,Ministry of Higher Education and Scientific Research of Algeria ,"MHESR, Algeria","MHESR, Algeria",,,,,,,,,,
5,1,Algeria,North Africa,2017,Pestic Biochem Physiol,,"Azadirachtin Impact on Mate Choice, Female Sexual Receptivity and Male Activity in Drosophila Melanogaster (Diptera: Drosophilidae)",14,1,Primary,1,0,FRANCE,0,Fruit flies,"N Aribi , M C Oulhaci , S Kilani-Morakchi , J C Sandoz , L Kaiser , B Denis , D Joly ",0,2,0,"Badji Mokhtar University of Annaba, Algeria","BMU Annaba, Algeria",8,,,,,1,1,,,1,FRANCE,,,2,1,3,National Fund for Scientific Research of Algeria,AFFSR Algeria,Algeria,,,,"Institute Diversity, Evolution, Ecology of the Living.",IDEEV,,,,,,,,
6,1,Algeria,North Africa,2017,Sci Rep,,Maternally-transmitted Microbiota Affects Odor Emission and Preference in Drosophila Larva,30,1,Primary,0,0,FRANCE,0,Fruit flies,"Jean-Pierre Farine , Wafa Habbachi , Jérôme Cortot , Suzy Roche , Jean-François Ferveur ",1,2,0,"Badji Mokhtar University of Annaba, Algeria","BMU Annaba, Algeria",8,,,,,,1,,,1,FRANCE,,,,0,0,,,,,,,,,,,,,,,,
7,1,Algeria,North Africa,2016,Pestic Biochem Physiol,,Larval Exposure to Azadirachtin Affects Fitness and Oviposition Site Preference of Drosophila Melanogaster,29,1,Primary,1,1,,0,Fruit flies,"Radia Bezzar-Bendjazia , Samira Kilani-Morakchi , Nadia Aribi ",0,1,0,"Badji Mokhtar University of Annaba, Algeria","BMU Annaba, Algeria",8,,,,,,,,,0,,,,2,1,1,National Fund for Scientific Research of Algeria,AFFSR Algeria,Algeria,Ministry of Higher Education and Scientific Research of Algeria ,"MHESR, Algeria","MHESR, Algeria",,,,,,,,,,
146,1,Algeria,North Africa,2020,Comp Biochem Physiol C Toxicol Pharmacol,,Evaluation of the pesticide Oberon on a model organism Drosophila melanogaster via topical toxicity test on biochemical and reproductive parameters,11,1,1,1,0,FRANCE,0,Fruit flies,"Kissoum N, Bensafi-Gheraibia H, Hamida ZC, Soltani N.",0,1,0,"Badji Mokhtar University of Annaba, Algeria","BMU Annaba, Algeria",8,,,,,,0,,,0,Cameroon,Kenya,USA,2,1,1,The National Fund for Scientific Research of Algeria,,Algeria,Ministry of Higher Education and Scientific Research of Algeria,,Algeria,,,,,,,,,,
8,3,Benin,West Africa,2019,Environ Entomol,,"Fruit Preference, Parasitism, and Offspring Fitness of Fopius Arisanus (Hymenoptera: Braconidae) Exposed to Bactrocera Dorsalis' (Diptera: Tephritidae) Infested Fruit Species",8,1,Primary,1,0,CAMEROON,0,Fruit flies,"S Nanga Nanga , R Hanna , D Gnanvossou , A Fotso Kuate , K K M Fiaboe , C Djieto-Lordon ",1,3,0,"International Institute of Tropical Agriculture Cotonou, Republic of Benin","IITA Cotonou, Benin",6,"International Institute of Tropical Agriculture  Yaoundé, Cameroon","IITA  Yaoundé, Cameroon",,,,,,2,2,,,,,0,0,,,,,,,,,,,,,,,,
9,3,Benin,West Africa,2018,Insects,,Detection of Volatile Constituents From Food Lures by Tephritid Fruit Flies,27,1,Primary,1,0,SWEDEN,0,Fruit flies,"Tibebe Dejene Biasazin , Haimanot Teklemariam Chernet , Sebastian Larsson Herrera , Marie Bengtsson , Miriam Frida Karlsson , Joelle Kristin Lemmen-Lechelt , Teun Dekker ",0,3,0,"International Institute of Tropical Agriculture Cotonou, Republic of Benin","IITA Cotonou, Benin",6,Swedish University of Agricultural Sciences,,,,1,1,,,1,Sweden,,,,0,0,,,,,,,,,,,,,,,,
10,3,Benin,West Africa,2015,J Econ Entomol,,Seasonal Abundance of Mango Fruit Flies (Diptera: Tephritidae) and Ecological Implications for Their Management in Mango and Cashew Orchards in Benin (Centre & North),42,1,Primary,1,1,,0,Fruit flies,"J-F Vayssières , M De Meyer , I Ouagoussounon , A Sinzogan , A Adandonon , S Korie , R Wargui , F Anato , H Houngbo , C Didier , H De Bon , G Goergen ",0,7,1,"International Institute of Tropical Agriculture Cotonou, Republic of Benin","IITA Cotonou, Benin",6,"University of Abomey Calavi, Cotonou, Republic of Benin",UAC Benin,"ENSTA- Ketou, Universite d'Agriculture de Ketou,EGPVS, 8 BP 155, Ketou. Rep. du Benin",,1,1,Nigeria,2,3,FRANCE,BELGIUM,,0,0,0,,,,,,,,,,,,,,,,
11,3,Benin,West Africa,2011,Environ Entomol,,"Bactrocera Invadens (Diptera: Tephritidae), a New Invasive Fruit Fly Pest for the Afrotropical Region: Host Plant Range and Distribution in West and Central Africa",160,1,review,1,1,,0,Fruit flies,"Georg Goergen 1, Jean-François Vayssières, Désiré Gnanvossou, Maurice Tindo",0,1,0,"International Institute of Tropical Agriculture Cotonou, Republic of Benin","IITA Cotonou, Benin",6,"International Institute of Tropical Agriculture , Republic of Benin","IITA Cotonou, Benin",,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
12,3,Benin,West Africa,2009,J Econ Entomol,,Effectiveness of Spinosad Bait Sprays (GF-120) in Controlling Mango-Infesting Fruit Flies (Diptera: Tephritidae) in Benin,,1,Primary,1,1,,0,Fruit flies,"Jean-François Vayssieres , Antonio Sinzogan, Sam Korie, Issa Ouagoussounon, Agnès Thomas-Odjo",0,1,0,"International Institute of Tropical Agriculture Cotonou, Republic of Benin","IITA Cotonou, Benin",6,"University of Parakou, Republic of Benin",UP Benin,,,1,1,,,1,FRANCE,,,2,1,2,,,,,,, International Institute of Tropical Agriculture (IITA),IITA,Nigeria,French Agricultural Research Centre for International Development (CIRAD),FARCID,France,,,,
13,3,Benin,West Africa,2007,J Econ Entomol,,"Effects of an African Weaver Ant, Oecophylla Longinoda, in Controlling Mango Fruit Flies (Diptera: Tephritidae) in Benin",,1,Primary,1,1,,0,Fruit flies,"Paul Van Mele , Jean-François Vayssières, Esther Van Tellingen, Jan Vrolijks",0,3,1,"Africa Rice Center WARDACotonou, Republic of Benin",Other Institutions,79,"nternational Institute of Tropical Agriculture, Cotonou, Republic of Benin","IITA Cotonou, Benin",,,1,1,,,1,FRANCE,,,4,1,2,,,,,,,"Conservation, Food and Health Foundation",CFHF,USA,Africa Rice Center (WARDA),,,,,,
147,3,Benin,West Africa,2020,J Econ Entomol,,Efficiency of Food-Based Attractants for Monitoring Tephritid Fruit Flies Diversity and Abundance in Mango Systems Across Three West African Agro-Ecological Zones,,1,1,1,1,,0,Fruit flies,"Hanna R, Gnanvossou D, Goergen G, Bokonon-Ganta AH, Mohamed SA, Ekesi S, Fiaboe KKM, Agnontchémè AI.",0,5,1,"International Institute of Tropical Agriculture Cotonou, Republic of Benin","IITA Cotonou, Benin",6,Plant Protection and Quarantine/Direction of Crop Production,SPVCP/DPV,,,,1,,2,3,,,,2,1,1,International Institute of Tropical Agriculture,IITA,Benin, International Centre of Insect Physiology and Ecology,,Kenya,,,,,,,,,,
14,6,Cameroon,Central Africa,2017,BMC Complement Altern Med,,Phytochemical analysis and in vitro anthelmintic activity of Lophira lanceolata (Ochnaceae) on the bovine parasite Onchocerca ochengi and on drug resistant strains of the free-living nematode Caenorhabditis elegans,,1,Primary,1,0,USA,1,C. elegans,,0,1,0,"University of Ngaoundéré, Cameroon",Other Institutions,79,,,,,1,1,Cameron,2,3,Germany,,,,0,0,,,,,,,,,,,,,,,,
15,6,Cameroon,Central Africa,2017,Molecules,,Anti-Onchocerca and Anti-Caenorhabditis Activity of a Hydro-Alcoholic Extract from the Fruits of Acacia nilotica and Some Proanthocyanidin Derivatives,,1,Primary,1,0,USA,1,C. elegans,,0,1,0,"University of Ngaoundéré, Cameroon",Other Institutions,79,,,,,1,1,,,1,Germany,,,4,1,3,Cameroonian-German Cooperation Project,CGCP Cameroun,Cameroun,,,,German Academic Exchange Service,DAAD,Germany,Alexander von Humboldt Foundation,AVHF,Germany,Deutsche Forschungsgemein-schaft,DFS,Germany,
16,6,Cameroon,Central Africa,2014,J Helminthol,,Anthelmintic activity of phenolic acids from the axlewood tree Anogeissus leiocarpus on the filarial nematode Onchocerca ochengi and drug-resistant strains of the free-living nematode Caenorhabditis elegans,,1,Primary,1,0,USA,1,C. elegans,,0,2,1,"Institute of Agricultural Research for Development, Cameroon",Other Institutions,79,"University of Ngaoundéré, Cameroon.",,,,1,1,,,1,Germany,,,2,1,2,,,,,,,Alexander von Humboldt Foundation,AVHF,Germany,Deutsche Forschungsgemeinschaft,DFS,Germany,,,,
17,6,Cameroon,Central Africa,2012,Vet Parasitol,,Anogeissus leiocarpus extract on the parasite nematode Onchocerca ochengi and on drug resistant mutant strains of the free-living nematode Caenorhabditis elegans,,1,Primary,1,0,USA,1,C. elegans,,0,2,1,"University of Ngaoundéré, Cameroon",Other Institutions,79,"University of Maroua, Cameroun","UM Maroua, Cameroon",,,1,1,,,1,Germany,,,2,1,2,,,,,,,Alexander von Humboldt Foundation,AVHF,Germany,Deutsche Forschungsgemeinschaft,DFS,Germany,,,,
18,6,Cameroon,Central Africa,2011,J Helminthol,,In vitro activity of Cameroonian and Ghanaian medicinal plants on parasitic (Onchocerca ochengi) and free-living (Caenorhabditis elegans) nematodes,,1,Primary,1,0,USA,0,C. elegans,,0,3,1,"Institute of Agricultural Research for Development, Cameroon",Other Institutions,79,"University of Ngaoundéré, Cameroon.","UN Ngaoundéré, Cameroon",University of Maroua,UM,1,1,Ghana,2,3,Germany,,,3,1,2,,,,,,,Alexander von Humboldt Foundation,AVHF,Germany,German Academic Exchange Service (DAAD),GAES DAAD,Germany,Deutsche Forschungsgemein-schaft,DFS,Germany,
148,14,Egypt,North Africa,2020,Antioxidants (Basel),,Ameliorative Effects of Rhoifolin in Scopolamine-Induced Amnesic Zebrafish (Danio rerio) Model,,1,1,0,0,Romania,0,Zebrafish,"Brinza I, Abd-Alkhalek AM, El-Raey MA, Boiangiu RS, Eldahshan OA, Hritcu L.",1,4,1,Al-Azhar University,Other Institutions,79,National Research Centre,,Ain Shams University,,,1,,,1,USA,,,1,1,2,,,,,,,"Ministry of Research and Innovation within Program 1—Development of the national RD system, Subprogram 1.2—Institutional Performance—RDI excellence funding projects",,Romania,,,,,,,
27,14,Egypt,North Africa,2003,J Egypt Soc Parasitol ,,Mutation in rugose gene locus affects the pigment cell number and alters the optic lobe phenotype in the Drosophila visual system.,,0,Primary,1,3,,0,Fruit flies,,0,4,0,"Ain Shams University Cairo, Egypt ",Other Institutions,79,"Cairo University, Giza, Egypt","CU Giza, Egypt","Ministry of Agriculture, Giza, Egypt  and National Research Centre, Giza, Egypt",MANRC Egypt,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
150,14,Egypt,North Africa,2020,Nanotechnology,,Impact of nano-conjugate on Drosophila for early diagnosis of Alzheimer's disease,,1,1,1,1,,0,Fruit flies,"Ahmed A, Ghallab EH, Shehata M, Zekri AN, Ahmed OS.",1,2,1,"National Cancer Institute, Egypy",Other Institutions,79,Ain Shams University,,,,,,,,0,Japan,UK,,1,1,1,Academy of scientific research and technology,,Egypt,,,,,,,,,,,,,
