Article S/N,Country Code,Country,Region,Date,Journal,Title,Full Article,Primary or review article,Was the work done locally?,Were the flies sourced locally?,"If sourced abroad, where?",Is it transgenic?,Family,A,Is it Neuroscience oriented?,Number of affiliated institutions,Intra collaboration,Name of local institution 1,,Name of local institution 2,,Name of local institution 3,Name of local institution 4,External collaboration 1,EC,Internal Colaboration,IC,IEC,Country of external collaboration 1,Country of external collaboration 2,Country of external collaboration 3,Number of Funders,Funded/Not funded,Fund,Local Funder 1,Local Funder_1,Local Funder_1_Country,Local Funder 2,Local Funder_2,Local Funder_2_Country,International Funder 1,International Funder_1,International Funder_1_Country,International Funder 2,International Funder_2,International Funder_2_Country,International Funder 3,International Funder_3,International Funder_3_Country,
1,1,Algeria,North Africa,2017,Pestic Biochem Physiol,Preimaginal Exposure to Azadirachtin Affects Food Selection and Digestive Enzymes in Adults of Drosophila Melanogaster (Diptera: Drosophilidae),1,Primary,1,1,,0,Drosophilidae,"Samira Kilani-Morakchi , Radia Bezzar-Bendjazia , Maroua Ferdenache , Nadia Aribi ",0,1,1,"Badji Mokhtar University of Annaba, Algeria",BMU Annaba Algeria,,,,,,,,,0,,,,2,1,1,National Fund for Scientific Research of Algeria,AFFSR Algeria,Algeria,Ministry of Higher Education and Scientific Research of Algeria ,"MHESR, Algeria","MHESR, Algeria",,,,,,,,,,
3,1,Algeria,North Africa,2018,Pest Manag Sci,"Azadirachtin Effects on Mating Success, Gametic Abnormalities and Progeny Survival in Drosophila Melanogaster (Diptera)",1,Primary,1,0,FRANCE,0,Drosophilidae,"Chemseddine M Oulhaci 1, Béatrice Denis 2, Samira Kilani-Morakchi 1, Jean-Christophe Sandoz 2, Laure Kaiser 2, Dominique Joly 2, Nadia Aribi 1",0,2,0,"Badji Mokhtar University of Annaba, Algeria",BMU Annaba Algeria,,,,,1,1,,,1,FRANCE,,,2,1,3,National Fund for Scientific Research of Algeria,AFFSR Algeria,Algeria,,,,"Institute Diversity, Evolution, Ecology of the Living.",IDEEV,France,,,,,,,
4,1,Algeria,North Africa,2019,Sci Rep,Transgenerational Effects From Single Larval Exposure to Azadirachtin on Life History and Behavior Traits of Drosophila Melanogaster,1,Primary,1,0,FRANCE,0,Drosophilidae,"M Ferdenache , R Bezzar-Bendjazia , F Marion-Poll , S Kilani-Morakchi ",0,3,0,"Badji Mokhtar University of Annaba, Algeria",BMU Annaba Algeria,,,,,1,1,,,1,FRANCE,FRANCE,,4,1,3,National Fund for Scientific Research of Algeria,AFFSR Algeria,Algeria,Ministry of Higher Education and Scientific Research of Algeria ,"MHESR, Algeria","MHESR, Algeria",Algerian-French Bilateral cooperation PROFAS B+,PROFAS B+,France,the doctoral school ABIES,PD-ABIES,France,,,,
5,1,Algeria,North Africa,2016,Pestic Biochem Physiol,Larval Exposure to Azadirachtin Affects Fitness and Oviposition Site Preference of Drosophila Melanogaster,1,Primary,1,1,,0,Drosophilidae,"Radia Bezzar-Bendjazia , Samira Kilani-Morakchi , Nadia Aribi ",0,1,0,"Badji Mokhtar University of Annaba, Algeria",BMU Annaba Algeria,,,,,,,,,0,,,,2,1,1,National Fund for Scientific Research of Algeria,AFFSR Algeria,Algeria,Ministry of Higher Education and Scientific Research of Algeria ,"MHESR, Algeria","MHESR, Algeria",,,,,,,,,,
6,1,Algeria,North Africa,2017,Pestic Biochem Physiol,Azadirachtin Induced Larval Avoidance and Antifeeding by Disruption of Food Intake and Digestive Enzymes in Drosophila Melanogaster (Diptera: Drosophilidae),1,Primary,1,1,,0,Drosophilidae,"Radia Bezzar-Bendjazia , Samira Kilani-Morakchi , Ferdenache Maroua , Nadia Aribi ",0,1,0,"Badji Mokhtar University of Annaba, Algeria",BMU Annaba Algeria,,,,,,,,,0,,,,2,1,1,National Fund for Scientific Research of Algeria,AFFSR Algeria,Algeria,Ministry of Higher Education and Scientific Research of Algeria ,"MHESR, Algeria","MHESR, Algeria",,,,,,,,,,
7,1,Algeria,North Africa,2017,Pestic Biochem Physiol,"Azadirachtin Impact on Mate Choice, Female Sexual Receptivity and Male Activity in Drosophila Melanogaster (Diptera: Drosophilidae)",1,Primary,1,0,FRANCE,0,Drosophilidae,"N Aribi , M C Oulhaci , S Kilani-Morakchi , J C Sandoz , L Kaiser , B Denis , D Joly ",0,2,0,"Badji Mokhtar University of Annaba, Algeria",BMU Annaba Algeria,,,,,1,1,,,1,FRANCE,,,2,1,3,National Fund for Scientific Research of Algeria,AFFSR Algeria,Algeria,,,,"Institute Diversity, Evolution, Ecology of the Living.",IDEEV,,,,,,,,
,1,Algeria,North Africa,2017,Sci Rep,Maternally-transmitted Microbiota Affects Odor Emission and Preference in Drosophila Larva,1,0,0,0,FRANCE,0,Drosophilidae,"Jean-Pierre Farine , Wafa Habbachi , Jérôme Cortot , Suzy Roche , Jean-François Ferveur ",1,2,0,"Badji Mokhtar University of Annaba, Algeria",BMU Annaba Algeria,,,,,,1,,,1,FRANCE,,,,,,,,,,,,,,,,,,,,,
2,3,Benin,West Africa,2009,J Econ Entomol,Effectiveness of Spinosad Bait Sprays (GF-120) in Controlling Mango-Infesting Fruit Flies (Diptera: Tephritidae) in Benin,1,Primary,1,1,,0,Tephritidae,"Jean-François Vayssieres , Antonio Sinzogan, Sam Korie, Issa Ouagoussounon, Agnès Thomas-Odjo",0,1,0,"International Institute of Tropical Agriculture Cotonou, Republic of Benin","IITA Cotonou, Benin","University of Parakou, Republic of Benin",UP Benin,,,1,1,,,1,FRANCE,,,2,1,2,,,,,,, International Institute of Tropical Agriculture (IITA),IITA,Nigeria,French Agricultural Research Centre for International Development (CIRAD),FARCID,France,,,,
8,3,Benin,West Africa,2011,Environ Entomol,"Bactrocera Invadens (Diptera: Tephritidae), a New Invasive Fruit Fly Pest for the Afrotropical Region: Host Plant Range and Distribution in West and Central Africa",1,review,1,1,,0,Tephritidae,"Georg Goergen 1, Jean-François Vayssières, Désiré Gnanvossou, Maurice Tindo",0,1,0,"International Institute of Tropical Agriculture Cotonou, Republic of Benin","IITA Cotonou, Benin","International Institute of Tropical Agriculture , Republic of Benin","IITA Cotonou, Benin",,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
9,3,Benin,West Africa,2015,J Econ Entomol,Seasonal Abundance of Mango Fruit Flies (Diptera: Tephritidae) and Ecological Implications for Their Management in Mango and Cashew Orchards in Benin (Centre & North),1,Primary,1,1,,0,Tephritidae,"J-F Vayssières , M De Meyer , I Ouagoussounon , A Sinzogan , A Adandonon , S Korie , R Wargui , F Anato , H Houngbo , C Didier , H De Bon , G Goergen ",0,7,1,"International Institute of Tropical Agriculture Cotonou, Republic of Benin","IITA Cotonou, Benin","University of Abomey Calavi, Cotonou, Republic of Benin",UAC Benin,"ENSTA- Ketou, Universite d'Agriculture de Ketou,EGPVS, 8 BP 155, Ketou. Rep. du Benin",,1,1,Nigeria,2,3,FRANCE,BELGIUM,,0,0,0,,,,,,,,,,,,,,,,
