Country of external collaboration 1,counts,percent
Australia,4,4.597701149425287
Belgium,10,11.494252873563218
Brazil,5,5.747126436781609
Canada,1,1.1494252873563218
Czech Republic,3,3.4482758620689653
Denmark,1,1.1494252873563218
Finland,1,1.1494252873563218
France,11,12.643678160919542
Germany,16,18.39080459770115
Italy,2,2.2988505747126435
Japan,2,2.2988505747126435
Malaysia,1,1.1494252873563218
Netherlands,1,1.1494252873563218
Norway,1,1.1494252873563218
Pakistan,1,1.1494252873563218
Portugal,1,1.1494252873563218
Saudi Arabia,1,1.1494252873563218
Spain,2,2.2988505747126435
Sweden,1,1.1494252873563218
Thailand,1,1.1494252873563218
Turkey,2,2.2988505747126435
UK,9,10.344827586206897
USA,9,10.344827586206897
Ukraine,1,1.1494252873563218
